phase,batch,file_path,inv_path
phase1,avocado,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD001 - batch mdu avocado - Archive Date 11142013/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD001 - batch mdu avocado - Archive Date 11142013_work_scan.csv
phase1,avocado,LIBRNewsPaperShare/Historic Maryland Newspaper Project hd001 - batch mdu avocado - Archive Date 11152013 - retry/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project hd001 - batch mdu avocado - Archive Date 11152013 - retry_work_scan.csv
phase1,avocado,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD001 - batch mdu avocado - Archive Date 11192013 - Retry 2/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD001 - batch mdu avocado - Archive Date 11192013 - Retry 2_work_scan.csv
phase1,avocado,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD001 - batch mdu avocado - Archive Date 11202013 - Retry 3/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD001 - batch mdu avocado - Archive Date 11202013 - Retry 3_work_scan.csv
phase1,bean,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD002 - batch mdu bean - Archive Date 04032014/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD002 - batch mdu bean - Archive Date 04032014_work_scan.csv
phase1,bean,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD02 - batch mdu bean - Archive Date 04072014 - Missed Files/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD02 - batch mdu bean - Archive Date 04072014 - Missed Files_work_scan.csv
phase1,corn,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD003 - batch mdu corn - Archive Date 05152014/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD003 - batch mdu corn - Archive Date 05152014_work_scan.csv
phase1,dill,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD004 - batch mdu dill - Archive Date 06062014/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD004 - batch mdu dill - Archive Date 06062014_work_scan.csv
phase1,endive,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD005 - batch mdu endive - Archive Date 07222014/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD005 - batch mdu endive - Archive Date 07222014_work_scan.csv
phase1,fennel,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD006 - batch mdu fennel - Archive Date 08202014/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD006 - batch mdu fennel - Archive Date 08202014_work_scan.csv
